paper_id_word_cited_id,paper_id,word_cited_id,add_numerical
35_word100,35,word100,35
35_word1152,35,word1152,35
35_word1175,35,word1175,35
35_word1228,35,word1228,35
35_word1248,35,word1248,35
35_word1250,35,word1250,35
35_word1306,35,word1306,35
35_word141,35,word141,35
35_word192,35,word192,35
35_word20,35,word20,35
35_word386,35,word386,35
35_word465,35,word465,35
35_word496,35,word496,35
35_word508,35,word508,35
35_word581,35,word581,35
35_word639,35,word639,35
35_word661,35,word661,35
35_word749,35,word749,35
35_word775,35,word775,35
35_word866,35,word866,35
40_word1006,40,word1006,40
40_word1076,40,word1076,40
40_word1132,40,word1132,40
40_word1139,40,word1139,40
40_word1150,40,word1150,40
40_word1171,40,word1171,40
40_word1178,40,word1178,40
40_word1223,40,word1223,40
40_word126,40,word126,40
40_word1275,40,word1275,40
40_word1293,40,word1293,40
40_word1307,40,word1307,40
40_word293,40,word293,40
40_word496,40,word496,40
40_word508,40,word508,40
40_word630,40,word630,40
40_word730,40,word730,40
40_word760,40,word760,40
114_word1005,114,word1005,114
114_word1133,114,word1133,114
114_word1152,114,word1152,114
114_word1264,114,word1264,114
114_word1275,114,word1275,114
114_word1341,114,word1341,114
114_word264,114,word264,114
114_word293,114,word293,114
114_word332,114,word332,114
114_word735,114,word735,114
114_word8,114,word8,114
114_word973,114,word973,114
117_word100,117,word100,117
117_word1072,117,word1072,117
117_word1172,117,word1172,117
117_word1210,117,word1210,117
117_word1329,117,word1329,117
117_word212,117,word212,117
117_word213,117,word213,117
117_word215,117,word215,117
117_word238,117,word238,117
117_word405,117,word405,117
117_word508,117,word508,117
117_word511,117,word511,117
117_word595,117,word595,117
117_word605,117,word605,117
117_word649,117,word649,117
117_word777,117,word777,117
117_word778,117,word778,117
117_word875,117,word875,117
117_word916,117,word916,117
117_word960,117,word960,117
128_word1072,128,word1072,128
128_word1231,128,word1231,128
128_word1232,128,word1232,128
128_word1259,128,word1259,128
128_word1264,128,word1264,128
128_word1275,128,word1275,128
128_word1394,128,word1394,128
128_word188,128,word188,128
128_word2,128,word2,128
128_word213,128,word213,128
128_word358,128,word358,128
128_word405,128,word405,128
128_word42,128,word42,128
128_word465,128,word465,128
128_word506,128,word506,128
128_word508,128,word508,128
128_word582,128,word582,128
128_word636,128,word636,128
128_word875,128,word875,128
128_word989,128,word989,128
130_word1129,130,word1129,130
130_word1139,130,word1139,130
130_word1178,130,word1178,130
130_word1210,130,word1210,130
130_word1231,130,word1231,130
130_word1264,130,word1264,130
130_word1267,130,word1267,130
130_word127,130,word127,130
130_word1309,130,word1309,130
130_word133,130,word133,130
130_word1382,130,word1382,130
130_word155,130,word155,130
130_word204,130,word204,130
130_word209,130,word209,130
130_word285,130,word285,130
130_word335,130,word335,130
130_word337,130,word337,130
130_word360,130,word360,130
130_word582,130,word582,130
130_word605,130,word605,130
130_word774,130,word774,130
130_word94,130,word94,130
164_word1043,164,word1043,164
164_word1212,164,word1212,164
164_word1258,164,word1258,164
164_word1260,164,word1260,164
164_word1263,164,word1263,164
164_word1264,164,word1264,164
164_word133,164,word133,164
164_word1339,164,word1339,164
164_word204,164,word204,164
164_word256,164,word256,164
164_word338,164,word338,164
164_word381,164,word381,164
164_word484,164,word484,164
164_word731,164,word731,164
164_word756,164,word756,164
164_word759,164,word759,164
164_word853,164,word853,164
164_word89,164,word89,164
164_word922,164,word922,164
288_word100,288,word100,288
288_word1079,288,word1079,288
288_word1132,288,word1132,288
288_word1144,288,word1144,288
288_word1178,288,word1178,288
288_word126,288,word126,288
288_word1300,288,word1300,288
288_word1308,288,word1308,288
288_word133,288,word133,288
288_word1350,288,word1350,288
288_word1353,288,word1353,288
288_word136,288,word136,288
288_word1367,288,word1367,288
288_word155,288,word155,288
288_word337,288,word337,288
288_word442,288,word442,288
288_word451,288,word451,288
288_word508,288,word508,288
288_word724,288,word724,288
288_word730,288,word730,288
288_word781,288,word781,288
424_word1077,424,word1077,424
424_word1281,424,word1281,424
424_word1329,424,word1329,424
424_word1349,424,word1349,424
424_word1353,424,word1353,424
424_word1402,424,word1402,424
424_word205,424,word205,424
424_word232,424,word232,424
424_word261,424,word261,424
424_word274,424,word274,424
424_word275,424,word275,424
424_word477,424,word477,424
424_word508,424,word508,424
424_word541,424,word541,424
424_word620,424,word620,424
424_word704,424,word704,424
424_word736,424,word736,424
424_word755,424,word755,424
434_word1055,434,word1055,434
434_word1061,434,word1061,434
434_word1107,434,word1107,434
434_word1150,434,word1150,434
434_word1178,434,word1178,434
434_word1190,434,word1190,434
434_word1260,434,word1260,434
434_word1264,434,word1264,434
434_word1292,434,word1292,434
434_word1305,434,word1305,434
434_word1318,434,word1318,434
434_word183,434,word183,434
434_word220,434,word220,434
434_word221,434,word221,434
434_word231,434,word231,434
434_word506,434,word506,434
434_word667,434,word667,434
434_word815,434,word815,434
434_word88,434,word88,434
434_word898,434,word898,434
434_word95,434,word95,434
434_word995,434,word995,434
463_word100,463,word100,463
463_word1050,463,word1050,463
463_word1150,463,word1150,463
463_word1171,463,word1171,463
463_word1178,463,word1178,463
463_word1204,463,word1204,463
463_word1258,463,word1258,463
463_word1302,463,word1302,463
463_word1307,463,word1307,463
463_word1315,463,word1315,463
463_word1382,463,word1382,463
463_word1388,463,word1388,463
463_word204,463,word204,463
463_word212,463,word212,463
463_word60,463,word60,463
463_word624,463,word624,463
463_word646,463,word646,463
463_word725,463,word725,463
463_word730,463,word730,463
463_word813,463,word813,463
504_word1043,504,word1043,504
504_word1119,504,word1119,504
504_word1175,504,word1175,504
504_word1300,504,word1300,504
504_word1306,504,word1306,504
504_word1349,504,word1349,504
504_word1398,504,word1398,504
504_word1424,504,word1424,504
504_word247,504,word247,504
